Sample ID,Rock ID,Class,Orientation,Perimeter,Area,Axis Major Length,Axis Minor Length,Mean Height,Median Height,Max Height,STD Height,Mean Gradient,STD Gradient,Gradient at Max,Weighted Hu Moment 1,Weighted Hu Moment 2,Weighted Hu Moment 3,Weighted Hu Moment 4
1,1,12,-1.0417897444783077,75.25483399593904,369,25.762852767835955,18.766354581829628,6.062,7.727,14.140625,3.62,2.2016363,1.6564076,1.2512766,0.020572488675637365,4.3784387498989086e-05,1.753849058461853e-06,1.845400691899022e-07
1,2,12,1.2431269252366968,58.526911934581186,226,19.162825110121243,15.681880730037625,3.562,2.37,8.375,2.537,1.7536589,1.3412639,0.82443225,0.034420220046910824,4.345926765258067e-05,1.5499947986450158e-05,2.6607191007307637e-06
1,3,12,-0.5044047015885845,84.32590180780453,458,28.895699739345144,20.471795448549617,6.293,8.34,11.2421875,3.184,1.8737843,1.7836356,1.2966824,0.02175976488122406,9.898803359442867e-05,4.577458279722845e-07,2.5956844995596265e-08
1,4,12,1.1272366671068335,68.52691193458118,330,23.37786001144545,18.33076253299351,5.39,6.65,8.3828125,3.113,1.9416933,1.6358055,1.7580146,0.02297466857933464,4.3024077298728765e-05,2.0841286889258743e-06,6.187965690481264e-08
1,5,12,1.5478454980503056,75.01219330881976,371,27.02183294710569,17.801481377595305,7.938,8.47,14.453125,4.668,2.8438904,1.8930008,0.86228645,0.015672410843168838,5.092759658640795e-05,5.241127833541881e-08,7.596123717012922e-10
1,6,12,-0.8767678800822375,83.49747468305833,481,28.706989601651678,21.772321439659624,7.938,8.44,14.4765625,4.31,2.3514528,2.3187084,10.090426,0.016180230711720672,2.360452718017186e-05,2.1713307640872122e-07,9.331118761589068e-08
1,7,12,0.07418449683752078,100.36143571373725,582,31.55771715115588,25.401629567975117,6.52,8.39,8.5703125,2.854,1.6262089,1.7861875,6.0546074,0.022352800055325407,2.86422882363923e-05,3.26557644810505e-06,1.1273816297298233e-07
1,8,12,1.1852552941971495,85.84062043356595,478,30.26927291419456,20.70980510589583,4.203,2.55,8.5703125,2.936,1.40328,1.3086109,0.9473764,0.028338740307333146,0.00012524197412651616,1.3486979742408527e-06,5.574739333615553e-07
1,9,12,0.36932888090637905,61.59797974644666,278,20.038128646241013,18.006089878803508,5.8,7.793,8.5703125,3.14,2.131953,1.8445826,0.120335326,0.020936939011449787,1.128831510684079e-05,6.077135190104453e-07,6.3248530472396585e-09
1,10,12,-0.9242554560172561,75.11269837220807,350,25.43162688260642,18.158407593971127,4.492,3.605,8.5703125,2.895,1.5525392,1.4973402,0.46514013,0.030974677570802175,0.00015398077013416349,2.806214963258648e-06,1.1198736064056297e-06
1,11,12,0.10817689430404014,73.01219330881975,373,25.452711797485158,18.85264486222908,4.97,4.953,8.5703125,3.096,1.7771026,1.5250499,1.7304611,0.024882153066205216,0.00011468049082784233,4.7509609377105216e-07,8.48543343910113e-08
1,12,12,-0.6157464764219517,71.84062043356595,369,24.58356517768101,19.37413202105599,2.115,2.398,2.59765625,0.6987,0.49964714,0.6708295,0.09962852,0.07071835554792451,0.0004323194195743042,2.0016943171039258e-05,2.2537152488591328e-07
1,13,12,0.3851313918178887,76.01219330881976,380,26.286473130156427,18.59166854378138,3.992,2.398,8.46875,2.846,1.4648508,1.3892652,1.6721311,0.0296724421587767,0.00013484219057482218,1.2723166756100357e-07,1.3639945227357161e-06
1,14,12,0.740272631881579,100.32590180780451,578,39.47236156964599,19.146792578518326,9.31,8.75,14.265625,4.918,2.5302835,2.7467709,0.4456593,0.016391576406535855,9.805883163923449e-05,4.040148012360177e-07,2.2254621943284378e-07
1,15,12,1.225036473811721,68.52691193458118,326,23.563416857203492,18.31427535378441,5.51,6.89,8.375,2.988,1.9019141,1.6478729,1.4021003,0.02312126892532724,6.0404553772363136e-05,1.8621500045373628e-06,1.2041250221333772e-07
1,16,12,0.22732652091241573,69.59797974644667,347,22.01144298031091,20.52949143345182,6.5,8.2,12.2890625,3.41,2.235698,1.8671858,0.6512581,0.019046161060285623,4.943513733707616e-06,1.1803480535288347e-06,2.182795370780784e-08
1,17,12,0.8644358182607506,62.526911934581186,280,19.719813942113973,18.580694373314735,4.83,4.766,8.3515625,3.021,1.7900432,1.8024623,1.2455139,0.024963241732874123,1.3387909726797182e-05,1.356210138128191e-06,3.7469529774422266e-07
1,18,12,1.2071573142833771,69.35533905932738,341,22.96283244499127,19.04107104460915,5.66,7.195,8.3046875,2.982,1.8361139,1.6752422,0.79228354,0.021728200758242576,3.609420270816217e-05,1.0443779771927543e-07,5.594180493262202e-09
1,19,12,-0.6396383229747578,84.76955262170047,469,29.22133137569408,20.763133099235812,8.18,8.26,14.265625,4.64,2.4302657,1.8225617,1.3639275,0.01470174349623831,2.8479861895797445e-05,3.8806802926998364e-08,4.449024464915385e-09
1,20,12,-0.3650345123866669,67.84062043356595,332,21.47737857248844,20.01413095762695,5.594,7.453,8.2890625,3.05,1.8513366,1.6523491,1.2884206,0.021294614011122835,7.562534244824177e-06,6.698302693762726e-07,1.716569903523863e-08
1,21,12,1.4038548164149094,68.76955262170047,315,22.640685575762266,18.475518769368524,4.098,3.88,8.296875,2.557,1.6640736,1.0808647,0.55395114,0.029511077702503642,6.363201257188463e-05,4.02788836805435e-06,1.0095072599006003e-07
